rawi_index,name,shuhrah,laqab,kunyah,nasab,place_iqama,selat_karaba,aqeedah,date_birth,date_death,place_birth,place_death,place_travel,date_travel,tabaqah,grade_ibn_hajar,grade_thahabi
6122,مسلم بن صفوان,,,,,,,,,,,,,,الثالثة,مجهول,
6123,مسلم بن عبد الله,,,,,,,,,,,,,,العاشرة,مجهول,مجهول
6124,مسلم بن عبد الله,أبو حسان,الأعرج ، الأحرد,أبو حسان,الأعرج ، البصري,,,كان حروريا,,130 هـ,,,,,الرابعة,صدوق رمي برأي الخوارج,ثقة
6126,مسلم بن عبد الله بن خبيب,,,,الجهني,,أخو معاذ بن عبد الله ، وعبد الله بن عبد الله,,,,,,,,الثالثة,مجهول,
6127,مسلم بن عبيد,,,أبو نصيرة,الواسطي ، الدمشقي,,,,,131 هـ : 140 هـ,,,,,الخامسة,ثقة,ثقة
6128,مسلم بن عمران ، ويقال : ابن أبي عمران ، ويقال : ابن أبي عبد الله,,البطين,أبو عبد الله,الكوفي,,ابنه سنة بن مسلم,,,,,,,,السادسة,ثقة,
6129,أبو عازب ، قال أبو حاتم وأبو داود : مسلم بن عمرو ، وقال غيرهم : مسلم بن أراك,,,أبو عازب,الكوفي,,,,,,,,,,الرابعة,مستور,
6130,مسلم بن عمرو بن مسلم بن وهب,,الحذاء,أبو عمرو,الحذاء ، المدني,,,,,251 هـ : 260 هـ,,,,,الحادية عشرة,صدوق,ثقة
6131,مسلم بن قرط,,,,المدني ، الحجازي,,,,,,,,,,السادسة,مقبول,نكرة
6132,مسلم بن قرظة,,,أبو المقدام,الأشجعي ، الشامي,,ابن عم عوف بن مالك لحا ، وقيل : ابن أخيه,,,,,,,,الثالثة,مقبول,ثقة
6133,مسلم بن كيسان,,البراد ، الأعور,أبو عبد الله ، أبو حمزة ، أبو عمرو,الضبي ، الملائي ، البراد ، الكوفي ، الأعور ، الكندي,,ابنه عبد الله بن مسلم ابن كيسان,كان يقدم عليا على عثمان رضي الله عنهما,,بين 131 هـ و140 هـ,,,,,الخامسة,ضعيف,واه
6134,مسلم بن المثنى ، ويقال : ابن مهران بن المثنى ، ويقال : اسمه مهران,,,أبو المثنى,القرشي ، الكوفي ، المؤذن,الكوفة,جد : محمد بن إبراهيم بن مسلم بن المثنى,,,,,,,,الرابعة,ثقة,ثقة
6135,مسلم بن مخراق,,القطان,أبو الأسود ، أبو سوادة,"البصري , ويقال : المازني , العرياني , العبدي , العطار , القطان , القري مولاهم ، ويقال : الضبى مولاهم ،  ويقال : الفزارى مولاهم",,والد سوادة بن أبي الأسود ، مولى بني قرة من عبد القيس ، ويقال : مولى بني ضبة بن قرة ، ويقال : مولى بني فزارة من عبد القيس,,,بين 111 هـ و120 هـ,,,,,الرابعة.,صدوق,وثق
6136,مسلم بن مخشي,,,أبو معاوية,المدلجي ، المصري,,,,,,,,,,الثالثة,مقبول,
6137,مسلم بن مشكم,,,أبو عبيد الله ، أبو عبد الله,الخزاعي ، الدمشقي ، الشامي,,كاتب أبي الدرداء,,,101 هـ و110 هـ,,,,,كبار الثالثة,ثقة مقرئ,ثقة
6138,مسلم بن نذير ، ويقال : مسلم بن يزيد ، ويقال : مسلم بن نذير بن يزيد بن شبل بن حيان,,,أبو نذير ، ويقال : أبو يزيد ، ويقال : أبو عياض,الكوفي ، السعدي,,ابن عم: عتي بن ضمرة,يذكرون أنه كان يؤمن بالرجعة,,,,,,,الثالثة,مقبول,صالح
6139,مسلم بن هيصم,,,,العبدي,,,,,,,,,,الرابعة,مقبول,وثق
6140,مسلم بن يسار,,,أبو عثمان,المصري ، الطنبذي ، ويقال : الأفريقي ،  الأنصارى مولاهم ، ويقال له : الأصبحي,,مولى الأنصار ، رضيع عبد الملك بن مروان ، جليس أبي هريرة ، وقيل : مولى آل عثمان,,,110 هـ,,إفريقية,,,الرابعة,مقبول,ثقة
6141,مسلم بن يسار,,سكرة ، المصبح,أبو عبد الله,البصري ، ويقال : المكي ،  الأموي مولاهم ، وقيل : المزنى مولاهم ، القرشى مولاهم ،,مكة ، البصرة,مولى بني أمية ، وقيل : مولى عثمان بن عفان ، وقيل : مولى طلحة بن عبيد الله ، مولى لقريش ، ويقال : لمزينة ، وابنه عبد الله بن مسلم بن يسار ، وكان مصبح ابن الزبير,,,100 هـ ، أو : 101 هـ,,,دمشق,,الرابعة,ثقة عابد,كان من الفقهاء العاملين الأولياء
6142,مسلم بن يسار,,,,الجهني ، بصري,,,,,,,,,,الثالثة,مقبول,وثق
6143,مسلم بن يناق,,,أبو الحسن,الخزاعي ، المكي,,والد الحسن بن مسلم بن يناق ، مولى نافع بن عبد الحارث الخزاعي,,,بين 111 هـ و120 هـ,,,,,الرابعة,ثقة,ثقة
6144,مسلمة بن عبد الله بن ربعي,,,,الجهني ، الحميري ، الدمشقي ، الداراني ، الشامي,,عمه :  أبي مشجعة بن ربعي ، كان على بيت المال زمن هشام,,,111 هـ و120 هـ,,,,,السادسة,مقبول,
6146,مسلمة بن علقمة,,,أبو محمد,المازني ، البصري,,إمام مسجد داود بن أبي هند,كان قدريا,,بين 171 هـ و180 هـ,,,,,الثامنة,صدوق له أوهام,ضعفه أحمد ، وقال أبو حاتم : صالح الحديث
6147,مسلمة بن علي بن خلف,,,أبو سعيد,الخشني ، الدمشقي ، البلاطي ، الشامي,"البلاط بدمشق , مصر",,,,قبل 190 هـ,,مصر,مصر,,الثامنة,متروك,تركوه
6148,مسلمة بن عمرو,,,أبو عمرو,الدمشقي ، الشامي,,,,,,,,,,الثامنة,مجهول,وثق
6149,مسلمة بن قعنب,,,,الحارثي ، البصري ، القعنبي ، المدنى,,والد عبد الله ، وإسماعيل,,,بين 171 هـ و180 هـ,,,,,الثامنة,ثقة,وثق
6150,مسلمة بن محمد,,,,الثقفي ، البصري,,منسوب إلى آل داود بن أبي هند,,,,,,,,التاسعة,لين الحديث,ضعف
6151,مسلمة بن مخلد بن الصامت بن نيار بن لوذان بن عبد ود بن زيد بن ثعلبة بن الخزرج بن ساعدة,,,أبو سعيد ، أبو معن ، وقيل : أبو مسعود ، وقيل : أبو معاوية ، وقيل : أبو معمر,الأنصاري ، الزرقي ، الخزرجي,مصر ، الشام,"والي مصر أيام معاوية ، أمه : مندوس بنت عمرو بن خنبش بن لوذان بن عبد ود الساعدين 
بناته  : منوس ، حمادة  ، أم سهل ، وأم جميل  ، أم حسن  ,  أمه بناته : أم كلثوم بنت سهيل بن عمرو ، أزواج بناته : الأو لى : عبد الله بن يزيد بن معاوية ، والثانية : يحيى بن سعيد بن سعد بن عبادة ، والثالثة : عبد الله بن خالد بن أبى دجانة ,",,1هـ,62 هـ,,قال بن حبان فى الثقات : مصر ، وفى الإكمال : ويقال : المدينة,,,صحابي صغير,صحابي صغير,صحابي
6152,المسور بن إبراهيم بن عبد الرحمن بن عوف,,,,القرشي ، الزهري ، المدني,,أخو ته : سعد ، وصالح,,,107 هـ,,,,,الرابعة,مقبول,
6153,المسور بن الحسن,,,,,,,,,,,,,,السابعة,مجهول,مجهول
6155,المسور بن مخرمة بن نوفل بن أهيب بن عبد مناف بن زهرة بن كلاب بن مرة بن كعب بن لؤي,,,أبو عبد الرحمن ، ويقال : أبو عثمان ، أبو عبد الله,الزهري ، المكي ، المدنى ،  القرشي,المدينة,والد:  أم بكر بنت المسور ، أمه :  الشفاء بنت عوف أخت عبد الرحمن بن عوف ، كان ممن يلزم عمر بن الخطاب ، أولاده : عبد الرحمن ، وصيفي ، وعبد الله ، وهشام ، ومحمد ، والحصين ، وعمرو ، وحمزة ، وجعفر ، وعوف ، وكان تحته جويرية بنت عبد الرحمن بن عوف ، خاله عبد الرحمن بن عوف,,بعد الهجرة بسنتين,64 هـ ،أو : 65 هـ ، وقيل : 70 هـ وقيل : 71 هـ ، وقيل : 72 هـ  ، وقيل : 73 هـ ، وقيل : 74 هـ,مكة,مكة,المدينة,8 هـ,له ولأبيه صحبة,له ولأبيه صحبة,صحابي صغير
6156,المسور بن يزيد,,,,الأسدي ، المالكي ، الكاهلي ، الكوفي,الكوفة,,,,,,,,,صحابي,صحابي,صحابي
6157,المسيب بن حزن بن أبي وهب بن عمرو بن عائذ بن عمران بن مخزوم,,,أبو سعيد,المخزومي ، القرشي ، المدني,,والد : سعيد ، وعبد الرحمن ، وعمر ، وأبو بكر ، ومحمد ، والسائب ، وأم أولاده :  أم سعيد ابنة عثمان بن حكيم ،  وأمه : أم الحارث بنت شعبة بن عبد الله بن أبي قيس ، وأخو : حكيم بن حزن ، وقيل إن له إخوه اسمهم : السائب ، وعبد الرحمن ، وأبو شداد,,,فى خلافة عثمان رضي الله عنه,,,الشام ، مصر,,له ولأبيه صحبة,له صحبة,صحابي
6158,المسيب بن رافع,,,أبو العلاء,الأسدي ، الكاهلي ، الكوفي ، الأعمى ، التغلبي ، ويقال الثعلبي,,والد العلاء بن المسيب,,,105 هـ,,,,,الرابعة,ثقة,حجة ، صوام قوام
6159,المسيب بن عبد خير,,,,الهمداني ، الكوفى,,,,,,,,,,السادسة,ثقة,ثقة
6160,المسيب بن نجبة,,,,الكوفي ، الفزاري,,من أصحاب علي وخيارهم,,,65هـ  ، أو :  67هـ,,,,,مخضرم ، من الثانية,مقبول,
6161,مسيكة,,,,المكية,,أم يوسف بن ماهك المكي,,,,,,,,الثالثة,لا يعرف حالها,
6162,مشاش,,,أبو ساسان ، ويقال : أبو الأزهر,السليمي ، البصري ، ويقال : المروزي ، الخراساني الاصل ، الواسطي,,,,,بين 121 هـ و130 هـ,,,,,السادسة,مقبول,
6163,مشرح بن هاعان,,,أبو مصعب,المعافري ، المصري,,من أبنائه ولد يقال له : مصعب بن مشرح,,,قريبا من 120 هـ ، أو  : 128 هـ,,,,,الرابعة,مقبول,ثقة
6164,مشعث  بن طريف ، ويقال : منبعث,,,,القاضي,هراة ، خراسان,,,,,,,,,السادسة,مقبول,وثق
6165,مشمعل بن إياس ، ويقال : ابن عمرو,,,,المزني ، البصري ، الأسدي,,,,,بين 141 هـ و150 هـ,,,,,الرابعة,ثقة,فيه لين ، وقد وثق
6166,مصدع,,المعرقب ، الأعرج,أبو يحيى,الأنصاري ، الأعرج,,مولى معاذ بن عفراء الأنصاري ، ويقال : مولى عبد الله بن عمرو بن العاص ، زوج نضرة ابنة أبي نضرة,متشيع,,بين 91 هـ و100 هـ,,,,,الثالثة,مقبول,صدوق
6167,مصرف بن عمرو بن السري بن مصرف,,,أبو القاسم ، ويقال : أبو عمرو ، أبو بكر,اليامي ، الهمداني ، ويقال : الأيامي ، الكوفي,,والد أحمد بن مصرف اليامي ، وابن ابن أخي طلحة بن مصرف ، ويقال : إنه من ولد طلحة بن مصرف,,,240 هـ,,,,,العاشرة,ثقة,ثقة
6168,مصرف بن عمرو بن كعب ، ويقال : مصرف بن كعب بن عمرو,,,,اليامي ، الكوفي,,والد : طلحة,,,,,,,,الرابعة,مجهول,
6169,مصعب بن ثابت بن عبد الله بن الزبير بن العوام,,,أبو عبد الله,القرشي ، الأسدي ، المدني,,جد مصعب بن عبد الله الزبيري ، عمه : عامر بن عبد الله بن الزبير ، ابنه :  عبد الله بن مصعب بن ثابت الزبيري ، ابن عم أبيه : عكاشة بن مصعب بن الزبير ، ابن عم أبيه الآخر : هشام بن عروة,,,157 هـ,,المدينة,,,السابعة,لين الحديث ، وكان عابدا,لين لغلطه
6170,مصعب بن سعد بن أبي وقاص,,,أبو زرارة,القرشي ، الزهري ، المدني,الكوفة,ابن أخيه :  إسماعيل بن محمد بن سعد بن أبي وقاص ، أمه  : خولة ابنة عمرو بن أوس بن سلامة الوائلية ، من أولاده :  زرارة  ، ويعقوب وعقبة,,,103 هـ,,,,,الثالثة,ثقة,ثقة
6171,مصعب بن سلام,,,,التميمي ، الكوفي,بغداد,,من الشيعة,,بين 181 هـ و190 هـ,,,,,الثامنة,صدوق له أوهام,لينه أبو داود
6172,مصعب بن سليم,,,,الأسدي ، الكوفي ، ويقال له : الزهري ، الزبيرى  مولاهم ،  القرشي مولاهم,,مولى الزبير بن العوام ، ابن أخيه أبو محمد عبد الله بن ميمون صاحب الطيالسة ،  ، كان عريف بني زهرة,,,بين 141 هـ و150 هـ,,,,,الخامسة,صدوق,وثق
6173,مصعب بن شيبة بن جبير بن شيبة بن عثمان بن أبي طلحة بن عبد العزى بن عثمان بن عبد الدار,,,,العبدري ، المكي ، الحجبي ، القرشي ، الكعبي,,عمة أبيه : صفية بنت شيبة  ، ابنه : زرارة بن مصعب بن شيبة ، حفيده : عبد الله بن زرارة,,,بين 111 هـ و120 هـ,,,,,الخامسة,لين الحديث,فيه ضعف
6174,مصعب بن عبد الله بن أبي أمية بن المغيرة بن عبد الله بن عمر بن مخزوم,,,,المخزومي ، القرشي,,عمته : أم سلمة ، ابن أخيه :عبد الله بن موسى بن عبد الله بن أبي أمية ، أخوه : موسى بن عبد الله بن أبي أمية ، وهو أخو محمد ،  وقريبة  ، وأمه : زينب بنت مصعب بن عمير,,,,,,,,الثالثة,صدوق,وثق
6175,مصعب بن عبد الله بن مصعب بن ثابت بن عبد الله بن الزبير بن العوام,,,أبو عبد الله,الأسدي ، الزبيري ، المدني ، القرشي ، العبدى,بغداد,عم الزبير بن بكار ، أمه :  أمة الجبار بنت إبراهيم بن جعفر بن مصعب بن الزبير,وقفي أي في خلق القرآن,,236 هـ,,بغداد,,,العاشرة,صدوق عالم بالنسب,ثقة ، غمز للوقف
6176,مصعب بن محمد بن عبد الرحمن بن شرحبيل,,,,العبدري ، المكي ، القرشي ، المديني ، العبدى ، القاضى,مكة,كان قاضيا لهشام بن عبد الملك,,,بين 121 هـ و130 هـ,,,,,الخامسة,لا بأس به,وثق
6177,مصعب بن المقدام,,,أبو عبد الله,الخثعمي مولاهم ، الكوفي,,مولى الخثعميين,,,203 هـ,,,,,التاسعة,صدوق له أوهام,قال أبو داود : لا بأس به ، وعن ابن المديني تضعيفه
6178,مضارب بن حزن ، ويقال : ابن بشير,,,أبو عبد الله,التميمي ، المجاشعي ، ويقال :العجلى ،   البصري ، المازني ، البكرى,,,,,بين 101 هـ و110 هـ,,,,,الثالثة,مقبول,ثقة
6179,مطر بن طهمان,,الوراق,أبو رجاء,الوراق  ،  الناسخ ، السلمي مولاهم ، بصري ، الخرسانى الأصل,البصرة,مولى علي ، مولى علباء السلمي,,,125 هـ ،أو : إلى قرب 140 هـ ،وقيل: 129 هـ,,,الشام ، البصرة,,السادسة,صدوق كثير الخطأ وحديثه عن عطاء ضعيف,قال أحمد : هو في عطاء ضعيف ، وقال ابن معين : هو صالح
6180,مطر بن عبد الرحمن,,الأعنق,أبو عبد الرحمن,العنزي ، البصري ، الأعتق,,جدته :  أم أبان بنت الوازع بن الزارع,,,بين 161هـ و170 هـ,,,,,السابعة,صدوق,وثق
6181,مطر بن عكامس,,,,السلمي ، الكوفي,الكوفة,,,,,,,,,صحابي,صحابي,له صحبة
6182,مطر بن الفضل,,,,المروزي,,,,,بعد 250 هـ,,فربر,,,الحادية عشرة,ثقة,وثق
6183,مطر بن ميمون,,,أبو خالد,المحاربي ، الإسكاف ، الكوفي,,,,,,,,,,الخامسة,متروك,قال البخاري : منكر الحديث
6184,مطرح بن يزيد,,,أبو المهلب,الكناني ، الأسدي ، الكوفي ، الشامى,الشام,,,,بين 131 هـ و140 هـ,,,,,السادسة,ضعيف,ضعيف
6185,مطرف بن طريف,,,أبو بكر ، ويقال : أبو عبد الرحمن,الحارثي ، ويقال : الخارفي ، الكوفي,,مولى الحارث بن كعب,,,133 هـ ، أو :141 هـ ، أو : 142 هـ ، او : 143 هـ ،,,,,,صغار السادسة,ثقة فاضل,ثقة ، إمام عابد
6186,مطرف بن عبد الله بن الشخير,,,أبو عبد الله,العامري ، الحرشي ، البصري ، الواقدي,البصرة,أخو :  يزيد ، وهاني ابنا عبد الله بن الشخير ، ابن أخيه  : عبد الله بن هاني بن عبد الله بن الشخير,,مولده بعد هجرة النبي صلى الله عليه وسلم  ب3 سنين,87 هـ ، أو : 95 هـ ، قال بن حبان : مات بعد طاعون الجارف ، وكان طاعون الجارف سنة 69 هـ,,,,,الثانية,ثقة عابد فاضل,أحد الأعلام
6187,مطرف بن عبد الله بن مطرف بن سليمان بن يسار,,مطرف,أبو مصعب,اليساري ، الهلالي مولاهم ، المدني,,مولى ميمونة زوج النبي صلى الله عليه وسلم ، خاله مالك بن أنس,,137 هـ,214 هـ ، او 220 هـ ، وفى زهرة المتعلمين : 221 هـ,,المدينة,,,كبار العاشرة,ثقة,
6188,مطعم بن المقدام بن غنيم,,,,الصنعاني ،  اليمنى  ، الشامي,,,,,بين 141 هـ و150 هـ,,الشام,,,السادسة,صدوق,ثقة نبيل
6189,المطلب بن أبي وداعة : الحارث بن صبيرة بن سعيد بن سعد بن سهم,,,أبو عبد الله,القرشي ،  المكى ،  السهمي ، الجمحي,المدينة ، مكة وله بمنى دار ، الكوفة,من ولده : الحارث وهو أبو شيخ ، وإبراهيم وهو حوشب ، وجعفر ، وعبد الله ، وحمزة ، والمطلب ، وعبد الرحمن ، وكثير ، وعياض ، أمه : أروى بنت الحارث بن عبد المطلب بنت عم النبي صلى الله عليه وسلم ،  أخو السائب بن أبي وداعة بن صبيرة ، وحفيده أبو سفيان بن عبد الرحمن ، أحد بني سهم بن عمرو بن هصيص,,,,,المدينة,المدينة,,صحابي,صحابي,من مسلمة الفتح
6191,المطلب بن زياد بن أبي زهير,,,أبو محمد,الثقفي مولاهم ، قيل : القرشي مولاهم ، الكوفي,الكوفة ، ثقيف,يقال : إنه مولى لجابر بن سمرة السوائي ، قيل مولى قريش,,,185 هـ ، قال فى الإكمال : 135 هـ,,الكوفة,,,الثامنة,صدوق ربما وهم,وثقه أحمد  وابن معين ، وقال أبو حاتم : لا يحتج به
6192,المطلب بن عبد الله بن حنطب ، ويقال : المطلب بن عبد الله بن المطلب بن حنطب بن الحارث بن عبيد بن عمر بن مخزوم : وقيل : المطلب بن عبد الله بن المطلب بن عبد الله بن حنطب ، وقيل : إنهما اثنان,,,أبو الحكم,القرشي ، المخزومي ، المدني,,مولاه: عمرو بن أبي عمرو ،  ختن سعيد بن المسيب على ابنته ، وقيل : ختنه المطلب بن السائب بن أبي وداعة ،  أمه : أم أبان بنت الحكم بن أبي العاص ، وقد قيل : إن أمه أم سلمة بنت الحكم بن أبي العاص بن أمية ، خاله :أبو سلمة ، من أولاده: الحكم ،سليمان،عبد العزيز ، الفضل ، الحارث ، علي,,,حدود 120 هـ,,,,,الرابعة,صدوق كثير التدليس والإرسال,قال أبو حاتم : لم يدرك عائشة ، وقال أبو زرعة : ثقة ، أرجو أن يكون سمع منها
6193,المطلب بن عبد الله بن قيس بن مخرمة بن المطلب بن عبد مناف,,,,المطلبي ، القرشي ، الحجازي,,أخواه : حكيم  ، محمد ابنا عبد الله,,,,,,,,السادسة,مقبول,وثق
6194,مطهر بن الهيثم بن الحجاج,,,,الطائي ، البصري ، الغساني ، الدمشقي,,أخو عمرو بن الهيثم,,,بين 191 هـ و200 هـ,,,مصر,,التاسعة,متروك,واه
6195,المطوس,,,أبو المطوس,,,والد : يزيد أبو المطوس,,,,,,,,الرابعة,مجهول,
6196,مطير بن سليم,,,,الوادى,,"والد : سليم , شعيث  ، وقيل : شعيب وهو غير جيد ، ومحمد",,,,,,,,الثالثة,مجهول الحال,لم يصح حديثه
6197,مطيع بن الأسود بن حارثة,,,أبو عبد الله,القرشي ، العدوي ، الأسدي,,أمه العجماء  بنت عامر الخزاعية : وهي أنيسة بنت عامر بن الفضل بن عفيف بن كليب بن حبشية من خزاعة ، اولاده هشام وسليمان وعبد الله وعبد الرحمن ومسلما والزبير ، وهو أخو مسعود بن الأسود ، وابن عم مسعود بن سويد بن حارثة العدوي,,,"خلافة عثمان , ونقل بن البرقى عن بعض أصحاب الحديث : أنه قتل فى يوم الجمل",,فى الإكمال : مكة ، وقال مصعب : المدينة,,,صحابي,صحابي,صحابي
6198,مطيع بن راشد,,,,البصري,,,,,,,,,,السابعة,مقبول,
6199,مطيع بن عبد الله,,الغزال,أبو الحسن ، وقيل : أبو عبد الله,الغزال ، القرشي ، الكوفي,,,,,,,,,,السابعة,صدوق,
6200,مطيع بن ميمون,,,أبو سعيد,العنبري ، البصري,,,,,بين 161هـ و170 هـ,,,,,السابعة,لين الحديث,ضعف
6201,مظاهر بن أسلم ، ويقال : ابن محمد بن أسلم,,,,المخزومي ، المدني ،  القرشي ، المكي,,,,,بين 141 هـ و150 هـ,,,,,السادسة,ضعيف,ضعفوه
6202,مظفر بن مدرك,,الحافظ,أبو كامل,الخراساني ، الحافظ ، البغدادي,بغداد,,,,207 هـ,,,,,صغار التاسعة,ثقة متقن ، كان لا يحدث إلا عن ثقة,قال أحمد : ليس فيهم مثله ، بصير بالحديث ، متقن . وقال يحيى : كنت آخذ هذا الشأن عنه ، قل من رأيت يشبهه ، وكان من الصالحين
6203,معاذ بن أسد بن أبي شجرة,,,أبو عبد الله,الغنوي ، المروزي ،  البصري,البصرة,كاتب ابن المبارك,,150، أو نحوها,بضع 220 ، أو : 221 هـ  ، وقال ابن عساكر : 223 هـ ، وقال أبو القاسم : 229 هـ ، وقيل : 228 هـ,,البصرة,,,العاشرة,ثقة,
6204,معاذ بن أنس,,,,الجهني ، المصري,مصر ، الشام,حليف الأنصار ،  والد سهل,,,بقي إلى خلافة عبد الملك,,عسفان,,,صحابي,صحابي,صحابي
6205,معاذ بن جبل بن عمرو بن أوس بن عائذ ابن عدي بن كعب بن عمرو بن أدي بن سعد بن علي بن أسد بن ساردة بن يزيد بن جشم بن عدي بن نابي بن غنم بن كعب بن سلمة,,,أبو عبد الرحمن,الأنصاري ، الخزرجي ، المدني ، السلمي,الشام ، حمص,صاحب رسول الله صلى الله عليه وسلم ، أمه :  هند بنت سهل من جهينة ، أخو ه لأمة :  وأخوه لأمه عبد الله بن الجد بن قيس ، أولادة :  أم عبد الله وهي من المبايعات ، وابنان ؛  عبد الرحمن ، والآخر لم يسم ، قال فى الإكمال : وزعم محمد بن إسحاق وحده أنه صلى الله عليه وسلم آخى بينه وبين جعفر ، قال ابن عمر : وكيف يكون هذا وإنما المؤاخاة بعد قدومه صلى الله عليه وسلم المدينة وقبل بدر ؟! فلما كان يوم بدر نزلت آية المواريث وانقطعت المؤاخاة ، وكان جعفر بالحبشة ، وإنما قدم المدينة بعد ذلك ب7 سنين ، هذا وهم من ابن إسحاق,,شهد بدرا ، وهو ابن 20  سنة,17 هـ ، أو : 18هـ,,قال بن حبان فى الثقات : الأردن ، وقال الحافظ فى التقريب : الشام,اليمن ، الشام,,مشهور ، من أعيان الصحابة,مشهور ، من أعيان الصحابة,من نجباء الصحابة
6206,معاذ بن الحارث بن رفاعة بن الحارث بن سوادة بن مالك بن غنم بن مالك بن النجار,ابن عفراء,,,الأنصاري ، النجاري ، الخزرجي ، البدري,المدينة,أمه عفراء ، وأخواه عوف ، ومعوذ ابنا عفراء ، اولاده : عبيد الله ، والحارث ، وعوف ، وإبراهيم ، ابن ابنه :  نصر بن عبد الرحمن,,,"37 هـ  فى خلافة على ، وفي « تاريخ ابن قانع » : 40هـ ، وقال ابن حبان في الصحابة : قتل بالحرة سنة 63 هـ , ويقال : إنه جرح يوم بدر ، ومات من جراحته",,قال بن حبان : الحرة ، قال المزى فى تهذيب الكمال : المدينة,,,صحابي,صحابي,بدري
6207,معاذ بن خالد بن شقيق بن دينار بن مشعب,,,أبو بكر,العبدي مولاهم ، المروزي,,مولى عبد القيس ، ابن عم علي بن الحسن بن شقيق المروزي,,,مات قيل 200 هـ ، أوبعدها ، أو على رأسها,,,,,كبار العاشرة,صدوق,ثقة
6208,أبو زهير بن معاذ بن رباح ، وقيل: اسمه معاذ بن رباح ، وقيل: عمار بن حميد ، وقيل: إنه عمارة بن رويبة,,,أبو زهير,الثقفي,الطائف,والد :  أبي بكر بن أبي زهير,,,,,,,,صحابي,صحابي,صحابي
6209,معاذ بن رفاعة بن رافع بن مالك بن العجلان بن عمرو بن عامر بن زريق,,,أبو عبيدة,الأنصاري ، الزرقي ، المدني,,أمه أم عبد الله سلمى بنت معاذ بن الحارث النجارية ، ومن ولده : الحارث وسعد ، ومحمد ، وموسى ، وأمية ، أمهم عمرة بنت النعمان بن عجلان الزرقية ، أخوه عبيد بن رفاعة ، ابن ابن أخيه رفاعة بن يحيى بن عبد الله بن رفاعة بن رافع ، وحفيداه : موسى بن النعمان بن معاذ ، وعيسى بن النعمان بن معاذ,,,101 هـ : 110 هـ,,,,,الرابعة,صدوق,
6210,معاذ بن زهرة ، ويقال : معاذ أبو زهرة,,,أبو زهرة,الضبي,,,,,,,,,,الثالثة,مقبول,تابعي أرسل
6211,"معاذ بن سعد ,  أو : سعد بن معاذ",,,,الأنصاري,,,,,,,,,,,ذكره ابن منده وغيره  : في الصحابة,صحابي
6212,معاذ بن عبد الرحمن بن عثمان بن عبيد الله بن عثمان بن عمرو بن عامر بن عمرو بن كعب بن سعد بن تيم بن مرة,,,,التيمي ، المدني ، الحجازي ، الطلحى ، القرشي,,أمه أم ولد ،  أبناؤه : عبد الرحمن ، وأويس ، وأسماء ،  أخية : عثمان بن عبد الرحمن التيمي,,,,,,,,الثالثة ، ويقال : له صحبة,صدوق,ثقة
6213,معاذ بن عبد الله بن خبيب,,,,الجهني ، المدني,,أخو : عبد الله ، ومسلم ابنا عبد الله,,,118 هـ,,المدينة,,,الرابعة,صدوق ربما وهم,ثقة
6214,معاذ بن العلاء بن عمار,,,أبو غسان,المازني ، البصري,,أخو أبي عمرو بن العلاء,,,بين 151 هـ و160 هـ,,,,,السابعة,صدوق,
6215,معاذ بن فضالة,,,أبو زيد,البصري ، الزهراني ، ويقال : الطفاوي ، ويقال : القرشي مولاهم,,يقال :مولى قريش,,,بين 211 هـ و220 هـ,,,,,العاشرة,ثقة,
6216,معاذ بن محمد بن معاذ بن أبي بن كعب ، وقيل : معاذ بن محمد بن معاذ بن محمد بن أبي بن كعب ، وقيل : معاذ بن محمد بن محمد بن أبي بن كعب,,,,الأنصاري ، المدني,,حفيده : مالك بن محمد بن معاذ بن محمد بن أبي,,,بين 151 هـ و 160 هـ,,,,,الثامنة,مقبول,وثق
6217,معاذ بن معاذ بن نصر بن حسان بن الحر بن مالك بن الخشخاش,,الحافظ,أبو المثنى,العنبري ، التميمي ، البصري ، القاضي ، الحافظ,البصرة,ولي قضاء البصرة لهارون ، ابناه :  عبيد الله بن معاذ  والمثنى,,117 هـ  ، أو 119 هـ,195 هـ  ، أو 196 هـ,,البصرة,بغداد,,كبار التاسعة,ثقة متقن,قال أحمد : إليه المنتهى في التثبت بالبصرة
6218,معاذ بن هانئ,,القناد,أبو هانئ,القيسي ، القناد ، البصري ، المصري ، ويقال : العيشي ، ويقال : اليشكري ، ويقال : البهراني,البصرة,,,,209 هـ,,,,,من كبار العاشرة,ثقة,ثقة
6219,معاذ بن هشام بن أبي عبد الله : سنبر,,,أبو عبد الله,الدستوائي ، البصري,ناحية من اليمن  ،  البصرة,,القدري,,200 هـ,,فى الجرح والتعديل : البصرة ، وقال بن حبان : ناحية اليمن,مكة ، البصرة,,التاسعة,صدوق ربما وهم,قال ابن معين : صدوق ليس بحجة
6220,معاذة بنت عبد الله,,,أم الصهباء,العدوية ، البصرية ، العابدة,البصرة,امرأة صلة بن أشيم,,,83 هـ,,,,,الثالثة,ثقة,من العوابد
6221,معارك بن عباد ، ويقال : ابن عبد الله,,,,العبدي ، البصري ، القيسي,,,,,161 هـ : 170 هـ,,,,,السابعة,ضعيف,قال أبو زرعة : واه
6222,المعافى بن سليمان,,,أبو محمد,الجزري ، الرسعني ، الحراني,,أولادة ، سليمان  ، و عبد الكبير,,,234 هـ,,,,,العاشرة,صدوق,ثقة
